ID,Tipo,Lado,Arbitro,Parcial,Categ.,Nombre,X,Y,X,Y_1,Estilo,Directorio,Descripción
43,1,2,1,9,3,plato04_capa3,3172,445,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
44,1,2,1,9,4,plato04_receta,3340,445,167,112,2,eurobot2023/receta,Pastel con la receta original
45,1,2,1,9,5,plato04_ginda,3172,333,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel
46,1,2,2,10,1,plato05_capa1,3172,931,168,111,2,eurobot2023/capa1,"Pastel de 1 capa, sin importar el color"
47,1,2,2,10,2,plato05_capa2,3340,931,167,111,2,eurobot2023/capa2,"Pastel de 2 capas, sin importar el color"
48,1,2,2,10,3,plato05_capa3,3172,819,168,112,2,eurobot2023/capa3,"Pastel de 3 capas, sin importar el color"
49,1,2,2,10,4,plato05_receta,3340,819,167,112,2,eurobot2023/receta,Pastel con la receta original
50,1,2,2,10,5,plato05_ginda,3172,707,335,112,2,eurobot2023/guinda,Guinda colocada encima del pastel
51,3,1,1,11,6,colocar_cesta,1057,1492,180,112,1,eurobot2023/cesta,Cesta colocada en su posición
52,2,1,1,11,7,guindas_cesta,1057,1604,180,112,1,eurobot2023/guindas,Número de guindas introducidas dentro de la cesta
53,3,1,1,11,8,contador_cesta,1057,1716,180,111,1,eurobot2023/contador,El contador de guindas coincide con las guindas en la cesta
54,3,2,2,12,6,colocar_cesta,1057,333,180,112,2,eurobot2023/cesta,Cesta colocada en su posición
55,2,2,2,12,7,guindas_cesta,1057,445,180,112,2,eurobot2023/guindas,Número de guindas introducidas dentro de la cesta
56,3,2,2,12,8,contador_cesta,1057,557,180,111,2,eurobot2023/contador,El contador de guindas coincide con las guindas en la cesta
57,3,1,1,13,9,disfraz,1938,1292,336,100,1,eurobot2023/disfraz,El robot se ha disfrazado antes de terminar el partido
58,3,1,1,15,10,vuelta_plato,2499,1292,336,100,1,eurobot2023/vuelta,El robot telecontrolado / los dos robots autónomos ha(n) terminado en algún plato de su color
59,3,2,2,14,9,disfraz,1938,757,336,100,1,eurobot2023/disfraz,El robot se ha disfrazado antes de terminar el partido
60,3,2,2,16,10,vuelta_plato,2499,757,336,100,2,eurobot2023/vuelta,El robot telecontrolado / los dos robots autónomos ha(n) terminado en algún plato de su color
61,2,1,1,17,11,estimacion_puntos,1057,1292,180,112,1,eurobot2023/estimacion,"Estimación de puntos (antes del comienzo, o automático)"
62,2,2,2,18,11,estimacion_puntos,1057,757,180,112,2,eurobot2023/estimacion,"Estimación de puntos (antes del comienzo, o automático)"
63,2,1,1,19,12,penalizaciones,100,200,20,20,1,eurobot2023/estimacion,Penalizaciones (ver lista de penalizaciones en normativa)
64,2,2,2,20,12,penalizaciones,100,200,20,20,2,eurobot2023/estimacion,Penalizaciones (ver lista de penalizaciones en normativa)
